folder,freesound_id,name,duration_s,author,license,filename
undead,642873,coffin2.ogg,5.82,Kneeling,http://creativecommons.org/publicdomain/zero/1.0/,fs_642873_coffin2_ogg.mp3
undead,642872,coffin1.ogg,5.38,Kneeling,http://creativecommons.org/publicdomain/zero/1.0/,fs_642872_coffin1_ogg.mp3
undead,445981,Tibetan Zombie Monk,1.51,Breviceps,http://creativecommons.org/publicdomain/zero/1.0/,fs_445981_tibetan_zombie_monk.mp3
undead,642949,coffin3.ogg,6.42,Kneeling,http://creativecommons.org/publicdomain/zero/1.0/,fs_642949_coffin3_ogg.mp3
undead,625874,male-ghosts-song,22.31,FaraiGame1,http://creativecommons.org/publicdomain/zero/1.0/,fs_625874_male_ghosts_song.mp3
undead,781098,digital ghost,20.45,solarpsychedelic,http://creativecommons.org/publicdomain/zero/1.0/,fs_781098_digital_ghost.mp3
undead,210829,ghost_tease.wav,22.81,Diboz,http://creativecommons.org/publicdomain/zero/1.0/,fs_210829_ghost_tease_wav.mp3
ooze,511645,waterslap2alt.wav,0.28,profquad,http://creativecommons.org/publicdomain/zero/1.0/,fs_511645_waterslap2alt_wav.mp3
ooze,147017,Splat,0.39,JustInvoke,http://creativecommons.org/publicdomain/zero/1.0/,fs_147017_splat.mp3
ooze,590031,SFX_SQUELCH_slayer_impulse_163.wav,0.25,MrFossy,http://creativecommons.org/publicdomain/zero/1.0/,fs_590031_sfx_squelch_slayer_impulse_163_wav.mp3
ooze,590030,SFX_SQUELCH_slayer_impulse_162.wav,0.25,MrFossy,http://creativecommons.org/publicdomain/zero/1.0/,fs_590030_sfx_squelch_slayer_impulse_162_wav.mp3
ooze,590029,SFX_SQUELCH_slayer_impulse_161.wav,0.25,MrFossy,http://creativecommons.org/publicdomain/zero/1.0/,fs_590029_sfx_squelch_slayer_impulse_161_wav.mp3
ooze,590028,SFX_SQUELCH_slayer_impulse_160.wav,0.25,MrFossy,http://creativecommons.org/publicdomain/zero/1.0/,fs_590028_sfx_squelch_slayer_impulse_160_wav.mp3
ooze,590027,SFX_SQUELCH_slayer_impulse_159.wav,0.25,MrFossy,http://creativecommons.org/publicdomain/zero/1.0/,fs_590027_sfx_squelch_slayer_impulse_159_wav.mp3
ooze,590026,SFX_SQUELCH_slayer_impulse_158.wav,0.25,MrFossy,http://creativecommons.org/publicdomain/zero/1.0/,fs_590026_sfx_squelch_slayer_impulse_158_wav.mp3
ooze,590025,SFX_SQUELCH_slayer_impulse_157.wav,0.25,MrFossy,http://creativecommons.org/publicdomain/zero/1.0/,fs_590025_sfx_squelch_slayer_impulse_157_wav.mp3
ooze,590024,SFX_SQUELCH_slayer_impulse_156.wav,0.25,MrFossy,http://creativecommons.org/publicdomain/zero/1.0/,fs_590024_sfx_squelch_slayer_impulse_156_wav.mp3
ooze,590023,SFX_SQUELCH_slayer_impulse_155.wav,0.25,MrFossy,http://creativecommons.org/publicdomain/zero/1.0/,fs_590023_sfx_squelch_slayer_impulse_155_wav.mp3
ooze,590021,SFX_SQUELCH_slayer_impulse_153.wav,0.25,MrFossy,http://creativecommons.org/publicdomain/zero/1.0/,fs_590021_sfx_squelch_slayer_impulse_153_wav.mp3
ooze,590020,SFX_SQUELCH_slayer_impulse_152.wav,0.25,MrFossy,http://creativecommons.org/publicdomain/zero/1.0/,fs_590020_sfx_squelch_slayer_impulse_152_wav.mp3
ooze,590019,SFX_SQUELCH_slayer_impulse_151.wav,0.25,MrFossy,http://creativecommons.org/publicdomain/zero/1.0/,fs_590019_sfx_squelch_slayer_impulse_151_wav.mp3
ooze,590018,SFX_SQUELCH_slayer_impulse_150.wav,0.25,MrFossy,http://creativecommons.org/publicdomain/zero/1.0/,fs_590018_sfx_squelch_slayer_impulse_150_wav.mp3
ooze,649967,Squelching SFX [11],2.59,SoundDesignForYou,http://creativecommons.org/publicdomain/zero/1.0/,fs_649967_squelching_sfx_11.mp3
ooze,649977,Squelching SFX [3],1.27,SoundDesignForYou,http://creativecommons.org/publicdomain/zero/1.0/,fs_649977_squelching_sfx_3.mp3
ooze,649976,Squelching SFX [4],0.92,SoundDesignForYou,http://creativecommons.org/publicdomain/zero/1.0/,fs_649976_squelching_sfx_4.mp3
ooze,649974,Squelching SFX [2],1.1,SoundDesignForYou,http://creativecommons.org/publicdomain/zero/1.0/,fs_649974_squelching_sfx_2.mp3
ooze,649966,Squelching SFX [12],2.45,SoundDesignForYou,http://creativecommons.org/publicdomain/zero/1.0/,fs_649966_squelching_sfx_12.mp3
ooze,649978,Squelching SFX [9],0.77,SoundDesignForYou,http://creativecommons.org/publicdomain/zero/1.0/,fs_649978_squelching_sfx_9.mp3
ooze,649980,Squelching SFX [7],2.21,SoundDesignForYou,http://creativecommons.org/publicdomain/zero/1.0/,fs_649980_squelching_sfx_7.mp3
